Date,Description,Amount,Balance
1/1/2024,Opening Balance,0,10000
1/2/2024,WOOLWORTHS SANDTON,-120,9880
1/3/2024,UBER EATS JOHANNESBURG,-85,9795
1/4/2024,SHELL PETROL STATION,-450,9345
1/5/2024,NETFLIX SUBSCRIPTION,-199,9146
1/6/2024,PICK N PAY ROSEBANK,-180,8966
1/7/2024,STARBUCKS MELROSE ARCH,-65,8901
1/8/2024,UBER TRIP SANDTON,-45,8856
1/9/2024,TAKEALOT ONLINE PURCHASE,-250,8606
1/10/2024,CHECKERS HYPER FOURWAYS,-150,8456
1/11/2024,MCDONALD'S DRIVE THRU,-75,8381
1/12/2024,ENGEN PETROL STATION,-420,7961
1/13/2024,SPOTIFY PREMIUM,-59,7902
1/14/2024,SPAR CONVENIENCE STORE,-45,7857
1/15/2024,UBER EATS DELIVERY,-110,7747
1/16/2024,CLICKS PHARMACY,-140,7607
1/17/2024,KFC COLONEL MEAL,-80,7527
1/18/2024,DISCHEM PHARMACY,-200,7327
1/19/2024,STEERS BURGER COMBO,-65,7262
1/20/2024,WOOLWORTHS FOOD HALL,-170,7092
1/21/2024,UBER TRIP AIRPORT,-200,6892
1/22/2024,AMAZON PRIME SUBSCRIPTION,-99,6793
1/23/2024,GAME STORES ELECTRONICS,-800,5993
1/24/2024,CAPITEC OVERDRAFT FEE,-40,5953
1/25/2024,SALARY DEPOSIT,15000,20953
1/26/2024,RENT PAYMENT,-4500,16453
1/27/2024,ELECTRICITY PREPAID,-350,16103
1/28/2024,WATER & RATES MUNICIPAL,-280,15823
1/29/2024,INTERNET FIBER PAYMENT,-400,15423
1/30/2024,CELL PHONE CONTRACT,-600,14823
